"date","price"
"01.12.2017","9907,00"
"02.12.2017","1852,00"
"03.12.2017","10880,00"
"04.12.2017","11162,00"
"05.12.2017","11611,00"
"06.12.2017","11590,00"
"07.12.2017","13500,00"
"08.12.2017","16608,00"
"09.12.2017","15829,00"
"10.12.2017","14660,00"
"11.12.2017","14937,00"
"12.12.2017","16754,00"
"13.12.2017","17010,00"
"14.12.2017","16122,00"
"15.12.2017","16396,00"
"16.12.2017","17569,55"
"17.12.2017","19210,00"
"18.12.2017","18959,00"
"19.12.2017","18931,00"
"20.12.2017","17340,00"
"21.12.2017","16433,00"
"22.12.2017","15650,00"
"23.12.2017","13173,00"
"24.12.2017","14036,00"
"25.12.2017","13517,00"
"26.12.2017","13627,00"
"27.12.2017","15680,00"
"28.12.2017","15374,00"
"29.12.2017","14323,00"
"30.12.2017","14308,00"
"31.12.2017","12385,00"
"01.01.2018","13794,00"